"M","K","u","v","y","z","g","h","zp","gp","hp"
1,1,0.001,0.001,0.9807692307692307,0.9615384615384615,0.9437321937321936,0.9432696932696933,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.001,0.9807692307692307,0.4807692307692307,0.4718660968660968,0.47163484663484667,0.49038461538461536,0.4811253561253561,0.481009731009731
2,2,0.001,0.001,0.9807692307692307,0.9615384615384615,0.9437321937321936,0.9432696932696933,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.001,0.9807692307692307,0.3205128205128205,0.3145773979107312,0.31442323108989767,0.32478632478632474,0.31869262424817973,0.3185898463676241
3,2,0.001,0.001,0.9807692307692307,0.641025641025641,0.6291547958214624,0.6288464621797953,0.658119658119658,0.6456157011712567,0.645512923290701
3,3,0.001,0.001,0.9807692307692307,0.9615384615384615,0.9437321937321936,0.9432696932696933,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.0014953487812212204,0.9807692307692307,0.9435618382090873,0.9264032663044909,0.9257347754341475,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.0014953487812212204,0.9807692307692307,0.4717809191045437,0.46320163315224544,0.46286738771707375,0.48589045955227184,0.47679312426843035,0.4766260015508446
2,2,0.001,0.0014953487812212204,0.9807692307692307,0.9435618382090873,0.9264032663044909,0.9257347754341475,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.0014953487812212204,0.9807692307692307,0.3145206127363625,0.3088010887681636,0.3085782584780492,0.3207915196020194,0.31484175148646804,0.31469319795972506
3,2,0.001,0.0014953487812212204,0.9807692307692307,0.629041225472725,0.6176021775363272,0.6171565169560984,0.6541248529353527,0.641764828409545,0.6416162748828019
3,3,0.001,0.0014953487812212204,0.9807692307692307,0.9435618382090876,0.9264032663044909,0.9257347754341475,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.0022360679774997894,0.9807692307692307,0.9179004847782343,0.901646442510209,0.9006952421752177,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.0022360679774997894,0.9807692307692307,0.45895024238911714,0.4508232212551045,0.45034762108760884,0.4794751211945586,0.4706039183198599,0.4703661182361121
2,2,0.001,0.0022360679774997894,0.9807692307692307,0.9179004847782343,0.901646442510209,0.9006952421752177,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.0022360679774997894,0.9807692307692307,0.3059668282594114,0.3005488141700696,0.3002317473917392,0.3150889966173854,0.3093402350877387,0.3091288572355184
3,2,0.001,0.0022360679774997894,0.9807692307692307,0.6119336565188228,0.6010976283401392,0.6004634947834784,0.6484223299507187,0.6362633120108157,0.6360519341585953
3,3,0.001,0.0022360679774997894,0.9807692307692307,0.9179004847782342,0.901646442510209,0.9006952421752177,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.0033437015248821097,0.9807692307692307,0.8820301744305777,0.8670008814546617,0.865677059848754,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.0033437015248821097,0.9807692307692307,0.44101508721528887,0.43350044072733085,0.432838529924377,0.47050754360764446,0.4619425280559731,0.46161157265449615
2,2,0.001,0.0033437015248821097,0.9807692307692307,0.8820301744305777,0.8670008814546617,0.865677059848754,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.0033437015248821097,0.9807692307692307,0.29401005814352593,0.2890002938182205,0.2885590199495846,0.3071178165401284,0.3016412215198393,0.30134703894074877
3,2,0.001,0.0033437015248821097,0.9807692307692307,0.5880201162870519,0.578000587636441,0.5771180398991692,0.6404511498734617,0.6285642984429162,0.6282701158638256
3,3,0.001,0.0033437015248821097,0.9807692307692307,0.8820301744305779,0.8670008814546617,0.865677059848754,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.004999999999999999,0.9807692307692307,0.8333333333333334,0.8198924731182796,0.8181054641628119,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.004999999999999999,0.9807692307692307,0.4166666666666667,0.4099462365591398,0.40905273208140597,0.45833333333333337,0.4501654259718776,0.44971867373301067
2,2,0.001,0.004999999999999999,0.9807692307692307,0.8333333333333334,0.8198924731182796,0.8181054641628119,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.004999999999999999,0.9807692307692307,0.2777777777777778,0.2732974910394265,0.27270182138760396,0.2962962962962963,0.29117268633397664,0.2907755732327616
3,2,0.001,0.004999999999999999,0.9807692307692307,0.5555555555555556,0.546594982078853,0.5454036427752079,0.6296296296296295,0.6180957632570535,0.6176986501558385
3,3,0.001,0.004999999999999999,0.9807692307692307,0.8333333333333334,0.8198924731182796,0.8181054641628119,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.007476743906106102,0.9807692307692307,0.7697816034845671,0.7582843442880991,0.7559682770601417,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.007476743906106102,0.9807692307692307,0.3848908017422836,0.37914217214404955,0.37798413853007085,0.4424454008711418,0.43476339376433243,0.4341843769573431
2,2,0.001,0.007476743906106102,0.9807692307692307,0.7697816034845671,0.7582843442880991,0.7559682770601417,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.007476743906106102,0.9807692307692307,0.25659386782818905,0.252761448096033,0.2519894256867139,0.28217368966323714,0.277481991038381,0.2769673094321682
3,2,0.001,0.007476743906106102,0.9807692307692307,0.5131877356563781,0.505522896192066,0.5039788513734278,0.6155070229965705,0.6044050679614578,0.6038903863552451
3,3,0.001,0.007476743906106102,0.9807692307692307,0.7697816034845671,0.7582843442880991,0.7559682770601417,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.011180339887498947,0.9807692307692307,0.6909830056250527,0.6816906886678133,0.6788407192003982,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.011180339887498947,0.9807692307692307,0.34549150281252633,0.3408453443339067,0.3394203596001991,0.42274575140626314,0.41561497985926105,0.4149024874924072
2,2,0.001,0.011180339887498947,0.9807692307692307,0.6909830056250527,0.6816906886678133,0.6788407192003982,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.011180339887498947,0.9807692307692307,0.23032766854168424,0.22723022955593777,0.22628023973346606,0.26466289013890054,0.2604611786783175,0.259827852130003
3,2,0.001,0.011180339887498947,0.9807692307692307,0.4606553370833685,0.45446045911187555,0.4525604794669321,0.5979962234722339,0.5873842556013944,0.5867509290530799
3,3,0.001,0.011180339887498947,0.9807692307692307,0.6909830056250528,0.6816906886678133,0.6788407192003982,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.016718507624410548,0.9807692307692307,0.5992544178491148,0.5922404272959115,0.588946376574384,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.016718507624410548,0.9807692307692307,0.2996272089245574,0.29612021364795577,0.294473188287192,0.3998136044622787,0.39325241451628556,0.3924289018359036
2,2,0.001,0.016718507624410548,0.9807692307692307,0.5992544178491148,0.5922404272959115,0.588946376574384,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.016718507624410548,0.9807692307692307,0.1997514726163716,0.19741347576530383,0.19631545885812798,0.2442787595220255,0.24058334281789484,0.23985133154644428
3,2,0.001,0.016718507624410548,0.9807692307692307,0.3995029452327432,0.39482695153060765,0.39263091771625597,0.5776120928553587,0.5675064197409717,0.5667744084695211
3,3,0.001,0.016718507624410548,0.9807692307692307,0.5992544178491148,0.5922404272959115,0.588946376574384,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.024999999999999994,0.9807692307692307,0.5000000000000001,0.4950980392156864,0.4915513044517122,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.024999999999999994,0.9807692307692307,0.25000000000000006,0.2475490196078432,0.2457756522258561,0.375,0.3689668174962293,0.36808013380523574
2,2,0.001,0.024999999999999994,0.9807692307692307,0.5000000000000001,0.4950980392156864,0.4915513044517122,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.024999999999999994,0.9807692307692307,0.16666666666666669,0.16503267973856212,0.1638504348172374,0.22222222222222224,0.2189961454667337,0.21820798218585055
3,2,0.001,0.024999999999999994,0.9807692307692307,0.33333333333333337,0.33006535947712423,0.3277008696344748,0.5555555555555556,0.5459192223898106,0.5451310591089275
3,3,0.001,0.024999999999999994,0.9807692307692307,0.5,0.4950980392156864,0.4915513044517122,1,0.9807692307692307,0.9807692307692307
1,1,0.001,0.037383719530530504,0.9807692307692307,0.4007455821508853,0.39758431625233026,0.3940411481064204,1,0.9807692307692307,0.9807692307692307
2,1,0.001,0.037383719530530504,0.9807692307692307,0.20037279107544265,0.19879215812616513,0.1970205740532102,0.35018639553772135,0.3445883867553902,0.3437025947189128
2,2,0.001,0.037383719530530504,0.9807692307692307,0.4007455821508853,0.39758431625233026,0.3940411481064204,1,0.9807692307692307,0.9807692307692307
3,1,0.001,0.037383719530530504,0.9807692307692307,0.13358186071696176,0.13252810541744342,0.1313470493688068,0.20016568492241893,0.1973264292526546,0.1965390585535635
3,2,0.001,0.037383719530530504,0.9807692307692307,0.26716372143392353,0.26505621083488684,0.2626940987376136,0.5334990182557523,0.5242495061757315,0.5234621354766404
